brand_name,model_name,energy,gearbox,transmission,carrosserie,year,mileage_km,age,mileage_per_year,log_price
volkswagen,passat,essence,automatique,traction,berline,2019,60000,6,10000.0,11.571203807011969
peugeot,2008,essence,automatique,traction,suv,2022,34000,3,11333.333333333334,11.48247656671073
citroën,c3,essence,manuelle,traction,citadine,2019,51000,6,8500.0,10.691967639914864
bmw,série 1,essence,manuelle,traction,citadine,2017,126000,8,15750.0,11.127277689932466
volkswagen,golf 6,diesel,automatique,traction,compacte,2012,252000,13,19384.615384615383,10.645448706505872
kia,sportage,diesel,automatique,intégrale,suv,2012,324000,13,24923.076923076922,10.896757843893464
volkswagen,passat,essence,automatique,traction,berline,2019,100000,6,16666.666666666668,11.522885696764481
bmw,série 5,essence,automatique,traction,berline,2015,200000,10,20000.0,11.407576060361786
nissan,qashqai,essence,automatique,traction,suv,2011,147000,14,10500.0,10.668978650219241
citroën,ds3,essence,automatique,traction,citadine,2012,138000,13,10615.384615384615,10.463131911491967
citroën,jumpy combi,diesel,manuelle,traction,utilitaire,2018,124000,7,17714.285714285714,11.314486721293981
ssangyong,actyon sports,diesel,manuelle,traction,pick up,2017,200000,8,25000.0,10.645448706505872
renault,kadjar,essence,automatique,traction,suv,2018,109000,7,15571.42857142857,11.264476926102367
mercedes-benz,classe e,essence,automatique,traction,berline,2018,90000,7,12857.142857142857,11.813037464800539
mercedes-benz,classe c,essence,automatique,traction,berline,2016,170000,9,18888.88888888889,11.39640288460621
skoda,superb,essence,automatique,traction,berline,2021,60000,4,15000.0,11.736077016252437
haval,h6,essence,automatique,traction,suv,2020,115000,5,23000.0,11.277215789596893
toyota,corolla,essence,automatique,traction,citadine,2021,90000,4,22500.0,11.170449240431308
ford,kuga,essence,manuelle,traction,suv,2017,100000,8,12500.0,11.141876276228
kia,sportage,essence,automatique,traction,suv,2019,69000,6,11500.0,11.461642696843066
suzuki,baleno,essence,automatique,traction,citadine,2017,160000,8,20000.0,10.596659732783579
land rover,defender 110,diesel,manuelle,intégrale,suv,1997,210000,28,7500.0,11.082157933374816
volkswagen,golf 6,diesel,automatique,traction,compacte,2011,295000,14,21071.428571428572,10.62135173563291
volkswagen,golf 7,essence,manuelle,traction,compacte,2018,86000,7,12285.714285714286,11.277215789596893
ford,kuga,essence,automatique,intégrale,suv,2017,208000,8,26000.0,11.082157933374816
mg,zs,essence,manuelle,traction,suv,2022,35000,3,11666.666666666666,11.264476926102367
land rover,range rover sport,essence,automatique,traction,suv,2007,211000,18,11722.222222222223,11.385103457032141
mazda,3,essence,manuelle,traction,compacte,2017,103000,8,12875.0,10.933124826700707
